,formation,country,reference,label,age,strat_m,d13C,d18O,87Sr/86Sr_primary
38,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1052.085,116.0,1.1,-5.0,
39,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1051.795,120.0,1.3,-5.2,
40,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1051.795,120.0,1.1,-7.0,
41,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1051.141,129.0,1.1,-5.6,
42,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1051.069,130.0,,,
43,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1049.907,146.0,-0.3,-7.8,
44,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1049.762,148.0,0.9,-5.4,
45,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1049.254,155.0,-0.3,-9.6,
46,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1049.254,155.0,1.7,-8.3,
47,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1048.745,162.0,1.5,-4.1,
48,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1048.31,168.0,0.9,-4.8,
49,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1047.801,175.0,0.5,-5.2,
50,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1047.438,180.0,0.0,-8.1,
51,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1047.438,180.0,-0.1,-8.1,
52,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1047.366,181.0,0.6,-6.4,
53,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1046.857,188.0,0.8,-5.7,
54,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1046.422,194.0,0.9,-5.0,
55,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1046.131,198.0,0.6,-5.5,
56,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1045.623,205.0,-0.1,-7.1,
57,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1045.478,207.0,1.3,-4.0,
58,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1044.969,214.0,1.2,-4.2,
59,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1044.534,220.0,1.0,-5.0,
60,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1044.316,223.0,0.7,-5.2,
61,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1043.808,230.0,0.0,-6.6,
62,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1043.735,231.0,2.0,-7.1,0.7056
63,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1043.59,233.0,1.0,-6.1,
64,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1043.082,240.0,0.5,-5.3,
65,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1042.355,250.0,,-8.7,
66,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1042.355,250.0,1.0,-6.9,
67,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1041.992,255.0,-0.3,-7.1,
68,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1040.903,270.0,0.9,-6.3,
69,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1040.831,271.0,,-7.1,
70,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1040.177,280.0,0.3,-7.5,0.7059
71,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1040.177,280.0,0.3,-5.4,
72,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1040.104,281.0,1.2,-7.1,
73,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1039.378,291.0,1.9,-6.9,0.7061
74,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1038.725,300.0,1.6,-7.2,
75,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1038.362,305.0,0.7,-6.9,
76,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1038.362,305.0,0.2,-7.5,
77,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1037.999,310.0,1.1,-5.8,
78,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1037.926,311.0,1.0,-7.1,
79,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1037.2,321.0,0.2,-6.4,0.70588
80,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1036.545,330.0,1.6,-7.5,
81,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1036.473,331.0,1.3,-5.9,
82,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1036.4,332.0,1.5,-6.6,0.70611
83,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1036.4,332.0,1.2,-6.7,
84,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1035.654,342.0,2.3,-6.7,
85,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1034.983,351.0,1.9,-6.2,
86,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1034.685,355.0,1.9,-5.6,
87,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1034.536,357.0,,-10.6,
88,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1034.536,357.0,1.5,-6.5,
89,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1034.237,361.0,1.1,-6.8,
90,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1033.492,371.0,2.4,-7.1,
91,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1033.492,371.0,2.4,-7.0,
92,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1032.82,380.0,0.6,-7.6,
93,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1032.746,381.0,1.7,-7.1,
94,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1032.298,387.0,3.0,-8.9,0.70567
95,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1032.0,391.0,3.2,-7.1,
96,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1031.542,400.0,0.3,-7.6,
97,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1031.492,401.0,2.6,-7.0,
98,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1030.881,413.0,1.2,-7.0,0.70567
99,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1030.881,413.0,1.1,-7.0,
100,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1030.525,420.0,-0.5,-8.5,
101,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1030.068,429.0,3.3,-7.1,
102,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1029.458,441.0,2.3,-9.8,0.70585
103,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1029.0,450.0,1.4,-7.7,0.70613
104,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1027.864,474.0,1.1,-9.2,0.70581
105,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1003.105,997.0,2.4,-5.9,
106,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,1001.922,1022.0,2.6,-6.1,0.70555
107,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,999.934,1064.0,1.0,-9.0,
108,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,960.5,1897.0,3.1,-6.4,0.70525
109,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,949.865,2113.0,0.3,-8.2,
110,Riphean Transition,Siberia,Bartley et al. (2001),Riphean,947.6,2159.0,1.8,-8.9,
111,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,644.0,0.0,10.02,-6.74,
112,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,657.8,0.0,4.64,-6.9,
113,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,660.0,0.0,-2.58,-18.12,
114,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,660.0,0.1,-2.1,-14.78,
115,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.2,0.5,,,
116,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.979,0.6,-1.94,-12.4,0.706727
117,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,643.875,1.0,10.36,-4.42,
118,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.963,1.0,-2.39,-10.62,
119,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.979,1.0,-1.1,-16.46,
120,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.2,2.0,-1.39,-5.13,
121,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,657.715,2.0,2.01,-5.57,
122,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.922,2.0,-1.45,-10.09,
123,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,643.688,2.5,9.61,-5.02,
124,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,591.0,3.0,3.44,0.72,
125,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.178,3.0,0.07,-5.32,
126,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.881,3.0,-0.63,-11.21,0.706814
127,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.936,3.0,-1.32,-15.55,
128,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.156,4.0,1.01,-4.5,
129,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.191,4.0,,,
130,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,643.5,4.0,9.05,-7.95,
131,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,657.631,4.0,3.51,-7.3,
132,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.84,4.0,-0.38,-11.06,
133,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.914,4.0,-0.58,-15.36,
134,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,590.754,5.0,3.79,-1.03,
135,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.134,5.0,0.82,-5.23,
136,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,643.375,5.0,9.95,-4.57,
137,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.798,5.0,-0.2,-8.73,
138,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.893,5.0,-1.3,-15.89,
139,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,590.632,6.0,3.68,0.64,
140,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.111,6.0,0.96,-4.49,
141,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,643.25,6.0,10.04,-3.98,
142,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,657.546,6.0,4.54,-13.15,
143,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.757,6.0,0.49,-12.32,
144,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.871,6.0,-0.73,-14.4,
145,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,590.509,7.0,4.15,-3.15,
146,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.089,7.0,1.2,-3.76,
147,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,643.125,7.0,7.7,-14.03,
148,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.716,7.0,0.52,-12.15,
149,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.85,7.0,-0.8,-14.99,
150,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,643.062,7.5,8.04,-14.79,
151,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,590.386,8.0,3.98,-1.73,
152,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.067,8.0,1.48,-3.3,
153,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.181,8.0,,,
154,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,643.0,8.0,4.99,-13.77,
155,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.675,8.0,0.23,-12.15,0.706904
156,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.829,8.0,-0.45,-14.46,
157,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,590.263,9.0,3.75,0.01,
158,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.634,9.0,-0.87,-13.57,
159,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.807,9.0,-0.92,-13.83,
160,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.178,9.2,,,0.707645
161,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,590.14,10.0,2.85,-1.65,
162,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.023,10.0,1.25,-3.02,
163,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.786,10.0,-0.68,-13.07,
164,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,590.018,11.0,2.84,-0.47,
165,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.764,11.0,-0.23,-12.93,
166,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,589.895,12.0,3.32,-1.06,
167,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,632.6,12.0,,,
168,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,634.979,12.0,1.21,-2.98,
169,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.171,12.0,,,
170,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,657.292,12.0,6.64,-9.4,
171,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.743,12.0,-0.09,-11.31,
172,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,589.772,13.0,0.15,-0.86,
173,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.469,13.0,2.0,-4.7,
174,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.721,13.0,0.23,-8.65,
175,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,589.649,14.0,4.13,-1.54,
176,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,634.934,14.0,0.06,-2.43,
177,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.7,14.0,-0.68,-13.53,
178,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,632.586,14.5,,,
179,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,589.526,15.0,3.58,-0.2,
180,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.387,15.0,2.07,-10.95,
181,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.679,15.0,-0.47,-12.11,
182,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,589.404,16.0,3.14,-0.42,
183,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,632.578,16.0,,,0.707727
184,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,634.89,16.0,0.94,-6.4,
185,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.16,16.0,,,0.707615
186,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.346,16.0,2.52,-13.08,
187,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.657,16.0,-0.55,-8.93,
188,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,589.281,17.0,4.36,-1.16,
189,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.636,17.0,-0.15,-12.96,
190,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,589.158,18.0,3.76,-1.74,
191,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.264,18.0,2.73,-12.08,0.707367
192,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.614,18.0,-0.24,-12.73,
193,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.154,18.5,,,0.707562
194,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,589.035,19.0,3.44,-1.26,
195,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,632.562,19.0,,,0.707668
196,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.222,19.0,2.52,-11.92,
197,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.593,19.0,-0.35,-15.03,
198,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,588.912,20.0,3.08,-0.79,
199,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,634.802,20.0,1.28,-4.88,
200,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.2,20.0,-0.66,-5.25,
201,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.19,20.5,-1.15,-6.12,
202,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,588.789,21.0,4.31,-1.08,
203,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.147,21.0,,,0.707598
204,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.179,21.0,-0.98,-5.49,
205,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.14,21.0,2.7,-9.46,
206,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.55,21.0,-0.01,-9.73,
207,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,632.549,21.5,,,0.707565
208,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.169,21.5,-1.18,-6.01,
209,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,588.667,22.0,4.24,-1.52,
210,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.158,22.0,-1.38,-6.34,
211,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.099,22.0,1.86,-10.65,
212,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,632.543,22.5,,,0.707619
213,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.148,22.5,-0.86,-6.54,
214,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,588.544,23.0,3.26,-2.08,
215,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.138,23.0,-0.7,-5.5,
216,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.058,23.0,3.27,-10.27,
217,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.127,23.5,-1.37,-5.4,
218,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.141,23.5,,,0.707588
219,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,588.421,24.0,3.7,-2.68,
220,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,634.713,24.0,1.31,-1.96,
221,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.117,24.0,-0.66,-5.45,
222,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,659.017,24.0,2.71,-10.17,
223,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.107,24.5,-0.77,-4.86,
224,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,588.298,25.0,3.5,-2.33,
225,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.096,25.0,-0.27,-5.23,
226,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,656.742,25.0,7.48,-6.04,
227,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.086,25.5,-0.27,-4.9,
228,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,588.175,26.0,2.8,-1.26,
229,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.075,26.0,-0.33,-5.09,
230,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,632.522,26.5,,,0.707582
231,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.065,26.5,-0.38,-5.11,
232,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,588.053,27.0,4.53,-0.9,
233,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.055,27.0,-0.47,-5.47,
234,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.132,27.0,,,0.707604
235,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,658.893,27.0,1.67,-10.64,
236,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.044,27.5,-0.53,-5.16,
237,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,587.93,28.0,3.85,-2.38,
238,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,634.625,28.0,0.18,-5.91,
239,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.034,28.0,-1.77,-4.4,
240,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,656.615,28.0,8.47,-3.48,
241,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.023,28.5,-2.84,-4.83,
242,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,587.807,29.0,3.94,-1.61,
243,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.013,29.0,-3.17,-5.45,
244,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,658.811,29.0,3.76,-12.21,0.707265
245,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.003,29.5,-3.73,-6.01,
246,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,635.126,29.5,,,0.707625
247,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,634.992,30.0,-1.32,-4.19,
248,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,632.5,30.5,,,
249,Tsagaan-Olam Group,Mongolia,Bold et al. (2016),Tsagaan Olam,634.982,30.5,-1.66,-4.06,
